-1.322	-0.453	-1.957	-0.361	-0.884	0.884	1.217	-2.394	2.086	-1.254	0.810	-1.002	1.975	-1.951	-4.077	2.012	-0.995	0.515	0.502	-0.730	0.681	-0.983	1.667	-2.136	1.439	-1.205	-0.206	-1.365	1.131	-0.780	0.903	-0.391	-0.971	1.599	-0.373	0.737	-0.490	1.174	-0.342	-1.211	0.989	-0.767	-0.213	0.749	-2.265	0.015	-0.102	0.052	-1.667	-0.015	-1.445	-0.909	1.248	-0.102	1.439	0.373	-0.176	-3.356	-0.564	-0.576	-1.698	-1.199	-7.806	1.920	-3.646	0.595	1.008	1.938	3.005	-2.832	4.169	-2.696	0.416	-0.823	-1.032	0.490	-2.548	0.632	1.599	-0.225	0.767	0.884	0.441	-0.447	-0.262	1.236	-1.180	0.009	-0.527	-1.026	0.946	-1.143	1.174	-1.550	0.576	-1.624	0.915	-0.213	0.570	-1.088	0.595	0.206	-1.390	1.014	-2.468	0.928	-0.619	-0.952	-0.527	-0.126	-0.706	-1.612	0.989	-2.148	0.441	-1.236	1.649	-1.445	0.441	0.126	-2.394	2.450	-3.559	2.635	-0.804	-0.570	1.599	-2.080	2.641	-2.986	1.994	-1.470	0.952	-0.638	-0.706	1.310	-2.721	1.655	-2.049	0.983	-1.569	-0.089	0.564	-1.969	1.119	-1.519	1.125	-1.069	0.077	0.133	-1.026	0.878	-1.482	0.841	-1.679	-0.348	0.287	-2.185	1.174	-0.847	0.324	-0.280	-0.478	0.891	-1.285	0.422	-1.106	0.046	-0.391	0.490	-2.320	1.562	-0.213	-0.342	0.077	-1.507	2.727	-2.283	0.607	0.940	-2.622	1.981	-2.758	2.006	-2.462	0.860	-0.280	-1.230	1.002	-2.105	1.790	-1.501	-0.798	0.810	-0.508	-0.749	-0.792	0.527	-1.045	-0.478	-0.558	0.009	-0.712	-0.570	0.786	-1.260	-0.077	-0.108	-0.878	1.667	-1.661	1.156	-2.715	2.647	-2.918	0.416	-0.250	-0.034	-0.564	-0.841	-0.040	0.342	-1.014	-0.311	0.237	0.059	-1.353	-0.237	0.015	-0.934	-0.145	-0.071	-1.125	-0.237	0.484	-0.447	-0.921	0.773	-0.928	-0.940	1.002	-0.330	-0.977	-0.613	1.797	-2.062	0.810	-1.519	1.149	-0.823	0.398	-0.817	0.934	-0.854	-0.188	-0.484
-0.416	-0.854	-0.071	-0.317	0.545	-1.569	1.630	-2.795	1.920	-1.871	0.065	1.199	-2.080	0.971	-1.347	0.508	-0.706	-0.262	0.071	-1.100	0.860	-1.328	0.317	-1.242	0.225	0.089	-0.065	-0.891	-0.854	0.767	-0.952	0.139	-1.433	-0.182	1.254	-1.698	0.706	-0.151	0.484	-2.117	1.322	0.163	-1.470	0.182	-1.020	0.792	-0.989	1.008	-2.456	0.089	-0.015	-0.441	1.112	-1.347	3.337	0.601	0.120	-0.638	-1.285	-0.274	-3.399	0.909	-7.214	-0.065	-1.975	0.823	-1.704	2.863	2.277	0.243	1.501	-0.958	0.496	-0.675	-1.538	-0.422	-0.619	0.040	-0.367	1.082	-0.040	2.160	-0.928	1.421	-1.032	1.267	-1.174	0.169	-0.133	-2.364	0.724	-2.259	0.903	0.071	-1.741	0.465	-1.273	1.698	-1.587	0.681	-0.416	-1.094	0.533	-1.267	-1.002	1.205	-1.741	-0.145	-0.810	0.120	-2.357	0.915	-0.447	-0.872	-0.743	0.767	-1.390	0.632	-0.299	-0.681	-0.293	0.096	-0.471	0.250	-1.057	1.421	-1.470	0.515	-1.827	1.032	-0.145	-0.065	-0.958	0.934	-1.642	0.490	-0.145	0.243	-2.092	1.914	-1.864	-0.169	0.324	-0.361	-0.718	0.823	-0.059	-0.878	0.983	-0.459	-0.656	0.373	-1.119	-0.065	-1.020	0.324	-1.753	-0.361	0.250	-2.234	0.773	-0.096	-1.538	0.977	-0.866	0.342	-1.495	0.995	-0.773	-1.784	1.556	-0.564	-0.743	-0.120	0.644	-1.032	-0.169	-0.287	0.730	-0.810	-0.681	0.268	-1.038	0.194	-1.334	-0.213	0.089	-0.508	-0.213	-0.983	1.223	-1.328	-0.034	-0.040	0.089	-1.248	0.169	-0.385	-1.230	0.576	-1.026	-0.398	0.730	-1.673	0.065	0.348	0.274	-0.897	-0.903	1.168	-0.361	-0.656	0.718	-1.821	1.273	-1.624	0.089	-0.256	0.280	-0.958	-0.065	-1.162	0.508	-1.439	-0.490	0.644	-1.421	-0.928	0.521	-1.353	-0.619	-0.521	0.435	-1.698	1.538	-1.242	-0.065	0.675	0.040	-0.022	-1.026	1.347	-0.878	-0.773	1.575	-1.205	-0.398	-0.015	1.082	-1.642	0.428	-0.638	-0.391	0.681	-0.496	-1.661
0.299	-0.632	-1.100	1.612	-0.940	-1.038	0.946	0.206	-1.402	-0.169	0.552	-1.328	-0.065	0.798	-0.336	-1.630	1.784	-2.080	0.601	0.545	-1.223	-0.169	-0.108	0.373	-2.462	0.792	-0.015	-0.995	-0.854	0.669	-1.445	0.102	-0.274	-1.692	0.706	-1.322	0.712	-0.133	0.089	1.063	-2.160	2.777	-4.465	1.852	-0.564	-0.200	-0.891	1.310	-1.944	-0.663	1.199	-1.285	-0.145	-0.767	0.958	-1.908	0.545	-0.804	-0.515	-0.089	-4.854	-7.756	-11.442	-12.009	-12.391	-9.784	-4.995	-5.599	-1.002	0.065	1.427	1.723	4.132	2.832	6.364	6.937	7.621	7.504	8.816	9.026	8.083	8.613	6.585	9.137	8.496	9.242	8.151	10.357	7.769	8.219	6.733	3.448	4.767	0.767	1.014	-2.228	-3.159	-3.029	-5.636	-5.796	-5.605	-7.954	-5.538	-8.385	-7.405	-7.393	-6.043	-7.510	-6.739	-6.135	-5.587	-6.567	-5.914	-4.015	-6.265	-3.744	-5.920	-2.924	-3.726	-3.331	-0.952	-2.308	-0.891	-2.062	-0.687	0.582	-1.741	0.083	1.242	-1.223	1.433	0.786	1.291	1.156	0.527	-1.199	-4.625	-2.234	-6.604	-1.470	0.441	0.675	2.462	4.644	3.300	3.572	6.345	3.516	6.789	4.706	6.400	3.325	6.776	2.678	4.028	3.689	1.673	2.314	1.532	1.877	0.884	1.439	0.182	-1.082	-0.823	-3.627	-1.908	-5.192	-4.108	-6.172	-5.593	-6.370	-7.356	-5.975	-6.333	-5.168	-5.753	-4.724	-3.011	-2.616	-3.085	-0.071	0.059	-0.163	0.552	1.686	0.891	0.792	2.037	1.661	1.569	2.086	2.364	3.042	1.328	3.516	3.220	1.766	4.213	-0.213	4.632	1.174	2.789	2.499	0.940	2.512	-1.168	3.122	-2.296	0.718	-1.766	-2.906	-2.253	-3.171	0.231	-1.636	1.692	0.478	1.445	1.131	0.847	0.607	2.092	-0.219	2.203	-0.157	-0.545	0.083	-1.427	-1.119	-0.262	-2.629	-0.570	-3.072	-0.854	-4.052	-1.365	-2.696	-4.453	-2.401	-3.467	-3.972	-3.300	-1.889	-3.282	-2.154	-2.431	-0.656	-1.451	0.040	-1.322	0.786	0.724	0.287	1.002	0.989
-0.435	0.792	-2.388	2.092	-2.136	1.032	-1.340	0.114	-0.780	-0.157	0.515	-1.636	-0.028	-0.336	-1.112	-0.385	-0.977	0.952	-1.488	0.484	-1.205	1.562	-1.482	0.576	0.065	-2.259	1.846	-1.495	-0.539	0.952	-0.317	-0.348	-0.626	0.601	-2.191	1.297	-0.878	-0.410	1.094	-0.595	0.786	-0.706	0.293	-0.582	0.336	0.052	-1.285	0.231	-0.422	0.348	-0.626	2.419	0.971	1.038	2.302	-1.507	-1.112	-3.103	-1.291	-1.180	-0.817	-1.057	-7.103	1.069	-1.926	4.786	0.650	1.630	-3.152	-0.046	-1.223	-0.404	-0.613	-1.328	-2.635	2.715	-2.444	1.458	-1.254	3.504	0.065	1.199	-1.008	0.823	2.382	-2.388	-0.206	-1.026	1.476	-0.157	-0.404	-0.582	-1.131	1.809	-1.735	0.804	0.496	-0.231	-0.724	-0.052	-0.730	-0.539	-0.835	0.435	-1.353	-0.317	-0.841	0.354	-0.428	-0.570	-0.903	1.051	-0.515	-1.975	0.903	-1.186	0.958	-2.043	-0.089	-0.022	-0.342	0.342	-2.555	2.567	-2.290	0.268	0.102	0.373	-1.162	-0.367	1.667	-2.431	2.006	-1.901	1.149	-0.934	0.280	0.391	-1.230	0.675	-1.488	-0.681	0.921	-1.316	0.028	-0.114	0.317	-1.938	1.390	-1.322	-0.484	0.293	-0.872	-1.063	0.773	-1.106	-0.428	-0.139	-0.200	-0.749	1.285	-2.653	1.735	-1.371	0.681	-1.304	0.157	0.607	-1.944	1.051	-1.340	0.435	-0.570	-0.096	-0.398	0.601	-0.102	-0.847	0.065	-0.582	-0.145	-0.928	0.601	-0.422	-0.810	-0.157	-0.730	0.780	-1.137	0.502	-1.673	2.166	-3.165	0.706	1.267	-1.365	-0.435	-0.786	1.679	-3.411	1.766	-0.971	0.077	0.145	-0.915	1.297	-1.421	0.268	-1.803	1.624	-1.316	-0.336	-0.650	0.601	-0.656	-1.088	0.120	-0.552	1.008	-1.920	0.373	0.379	-1.211	0.718	-2.357	1.698	-1.414	-0.293	-0.157	0.459	-1.063	-1.088	1.359	-1.797	0.126	-0.638	0.465	-1.100	-0.447	0.921	-1.501	0.348	-1.402	0.496	-0.823	-0.151	-0.983	0.034	0.015	-0.810	0.416	-2.074	1.365	-1.581	0.268	0.872
0.077	-1.495	1.790	-2.887	1.908	-1.279	0.354	-0.613	-0.613	1.636	-2.924	1.340	-0.724	0.003	-0.786	0.133	0.817	-1.710	1.149	-2.062	1.501	-1.205	0.330	0.237	-1.513	1.254	-1.328	0.293	-0.243	0.527	-1.587	0.089	0.398	-1.051	0.256	-0.730	0.773	-1.180	-0.009	0.595	-0.533	-0.336	-1.248	-0.915	0.940	-0.398	-2.086	0.558	-1.162	-1.377	0.508	-1.038	1.630	2.142	-0.459	-0.404	-3.929	0.644	-3.436	-0.619	-1.895	-7.122	2.283	-2.980	-0.250	0.533	1.525	1.710	1.482	-0.305	-0.404	-1.377	1.470	-2.696	-0.773	-0.589	-0.089	0.552	0.293	0.743	-0.465	2.074	-1.741	1.772	-0.977	-0.200	-0.909	0.693	-1.304	-1.069	0.663	-0.317	-2.173	1.248	-1.002	-0.089	-0.317	1.267	-1.729	0.669	-0.576	-1.821	1.082	-0.940	-0.447	-0.521	-0.576	-0.157	-1.772	1.827	-2.333	0.188	-0.182	-0.311	-0.712	1.316	-0.761	-0.484	0.034	-0.804	-0.607	0.478	-0.237	-1.285	1.125	-0.700	-0.601	0.052	-0.422	-0.336	0.330	-0.077	-0.958	-1.242	1.624	-2.955	0.792	0.681	-0.891	0.428	-0.447	0.151	-1.698	2.345	-2.943	0.619	0.755	-0.958	0.786	-0.700	0.940	-1.119	2.210	-1.975	-1.254	2.931	-4.114	2.364	-2.148	0.435	-0.767	0.847	-0.558	-1.322	1.451	-2.166	0.755	-0.589	-1.057	-0.324	0.958	-2.173	1.556	-1.883	0.669	0.484	-1.180	0.909	-1.223	0.958	-1.803	1.673	-1.729	0.200	-0.022	-1.347	0.958	-1.384	0.681	-1.248	0.891	-1.273	0.077	-0.028	-1.304	0.860	-1.279	0.367	-1.673	1.944	-3.627	1.606	-0.484	0.083	1.692	-1.205	2.185	-3.029	2.567	-3.596	1.784	-0.317	-0.465	0.317	-0.342	0.385	-1.439	2.086	-2.314	0.995	-0.052	-0.773	0.114	-0.638	0.040	-2.376	1.975	-2.536	-0.361	0.712	-1.957	0.379	-0.823	-0.268	-0.083	0.410	-2.234	0.934	0.324	-1.488	0.515	-0.977	1.593	-2.431	1.649	-0.638	0.626	0.663	-2.222	1.938	-1.846	1.217	-1.316	-0.028	0.700	-0.558
-1.020	-0.354	0.317	-0.120	-1.032	1.353	-1.359	1.174	-2.684	2.629	-2.364	0.897	-0.601	-1.112	1.020	-1.069	0.835	-1.710	0.891	-1.618	0.022	-0.126	-0.527	-0.601	0.274	-0.792	0.552	-0.342	-1.445	0.151	0.441	-0.946	-0.108	0.009	2.210	-1.032	4.385	-2.154	2.518	-1.593	-0.293	-4.515	0.206	-0.915	-2.055	-1.125	-3.646	-0.847	-0.126	5.149	-0.644	3.424	0.903	-1.803	-1.162	-3.196	0.515	-2.758	-0.928	-7.707	-0.194	-0.225	-0.151	1.340	2.160	2.444	-0.022	2.074	-0.299	-0.231	0.391	-1.975	0.533	-1.741	0.022	0.841	0.305	0.650	-1.162	2.357	0.015	0.157	-0.595	1.377	-3.134	0.909	-1.254	-1.322	1.359	-3.085	1.310	-2.690	-0.305	-0.595	0.342	-0.096	-0.015	0.046	-1.544	-0.243	0.934	-1.334	-0.983	-0.182	-0.582	-1.038	-0.274	-0.404	-1.045	-0.237	0.225	-0.595	-0.810	0.860	-0.428	0.046	-1.119	0.311	0.447	-2.031	1.735	-2.265	0.428	-1.026	-0.194	-0.237	0.675	-2.357	0.977	-0.219	-1.544	0.878	-1.636	1.242	-1.273	-0.022	0.213	-1.069	1.026	-2.912	1.427	-1.396	-0.022	0.626	-0.379	-0.391	0.632	0.687	-1.741	0.897	-0.459	-1.809	1.310	-2.265	-0.009	-1.032	0.847	-1.112	-0.478	1.544	-2.333	1.704	-1.606	-0.416	0.059	0.034	-0.884	-0.453	0.465	-0.225	-2.222	1.932	-0.552	-0.854	0.182	-0.133	0.435	-0.952	-0.773	-0.940	0.891	-0.379	-2.210	0.324	1.063	-2.887	1.433	-0.718	-0.847	-0.632	0.706	-1.316	0.718	-1.390	0.459	-1.710	1.951	-2.394	0.404	0.619	-0.798	0.213	0.102	0.299	-0.582	0.743	0.681	-1.476	1.433	-1.612	0.847	-1.230	0.385	-1.716	1.686	-1.402	-1.803	2.173	-0.921	-0.194	-1.827	1.433	-1.735	-0.157	0.126	-2.117	1.538	-1.778	0.089	-0.712	1.612	-1.285	-0.169	2.166	-2.610	1.285	-1.174	1.507	-1.451	0.139	1.328	-1.464	0.989	-2.795	2.450	-1.766	0.268	-0.952	0.601	-0.897	0.034	0.324	-0.354	-0.169	-0.570	0.613
-0.552	-1.858	1.390	-1.569	-0.995	1.038	-0.693	0.231	0.182	-0.817	0.447	-0.921	0.589	-1.889	0.884	0.521	-1.279	1.156	-1.137	0.767	-1.451	1.162	-1.871	1.285	-0.915	-1.069	0.700	-1.932	1.180	-2.401	1.698	-1.174	-0.891	1.334	-1.803	0.989	-0.854	-0.743	0.200	-0.398	-1.488	0.237	-0.028	-0.311	-1.094	0.940	-0.126	0.009	-0.009	2.136	-0.515	2.364	-2.968	-0.169	-1.445	-4.367	0.638	-0.693	0.034	-2.431	-0.398	2.327	-1.932	8.434	-2.690	3.627	-1.932	-2.468	-0.422	-2.394	-0.176	-5.907	-0.841	-5.273	1.679	1.414	-0.022	3.818	1.673	0.804	-0.213	2.055	-1.624	0.157	-0.613	-2.327	-0.145	0.847	-1.723	3.208	-0.817	0.274	-0.909	1.538	0.687	-0.052	-0.564	0.410	-1.760	0.552	-2.887	0.866	-1.051	-0.065	-1.840	0.878	-2.530	2.031	-1.131	0.096	-0.878	-0.971	0.194	-0.693	-0.533	-1.304	-0.391	0.305	-2.758	0.952	-0.656	0.317	-0.478	-0.619	0.225	-0.083	-0.644	0.539	-0.120	-0.441	-0.200	-0.169	0.089	-0.243	0.287	-0.798	-0.564	0.200	-1.026	-0.096	0.977	-2.099	-0.028	-0.601	-0.471	-0.841	-1.106	1.297	-1.716	-0.792	-0.361	-1.852	1.673	-0.854	-0.619	-0.163	-0.102	0.724	-1.735	1.988	-0.619	-0.718	1.180	-1.094	-0.046	-1.636	0.958	-1.180	-0.009	-0.915	-0.182	0.576	-1.334	1.205	-1.402	1.174	-2.579	1.242	-1.556	-0.256	-0.453	-1.002	1.075	-0.564	-1.236	0.823	-0.274	0.693	-1.642	1.088	-0.558	-0.780	0.404	-0.447	0.077	-0.737	-0.324	0.022	0.237	-0.558	-0.435	2.037	-2.450	1.482	-2.345	1.975	-2.524	0.533	-0.139	-2.875	2.536	-2.758	0.989	-0.028	0.508	-0.089	-2.308	3.424	-3.146	0.810	-0.169	-0.280	-0.607	0.287	-1.094	0.823	-0.521	0.059	0.071	-1.562	1.501	-1.920	1.661	-2.240	2.025	-1.223	-1.082	0.810	-1.969	1.815	-2.900	1.322	-2.431	1.347	-1.384	0.539	-0.564	0.188	0.114	-1.205	0.465	-1.513	0.601	-0.490	0.108	-0.903
-0.663	-0.015	0.194	-1.149	-0.052	-0.139	0.379	-1.094	0.114	-0.342	-0.096	-0.114	-0.484	0.126	-0.385	-0.755	0.798	-2.210	1.815	-1.254	-0.786	-0.169	0.022	-0.564	-0.607	-0.564	-0.102	-1.304	0.767	-0.570	-0.798	0.003	0.114	-0.151	0.114	-1.168	1.692	-2.000	1.371	-1.562	-0.015	2.561	-1.236	1.667	-0.989	1.741	-1.593	1.951	-3.171	-2.733	3.048	-2.290	0.995	-1.174	1.408	0.317	-0.872	0.484	-3.189	1.458	-7.633	-0.206	-2.419	-1.205	-1.963	2.949	-0.237	2.222	1.753	0.422	1.328	0.428	-0.478	-0.065	-0.508	0.558	-0.336	-0.231	-0.878	0.656	0.835	-2.129	1.057	0.243	-1.618	0.527	-2.228	1.451	-2.364	0.459	-1.433	0.847	0.829	-1.840	0.126	0.706	0.650	-0.897	0.089	0.891	-2.419	0.028	-0.114	0.182	-0.348	-0.416	-0.823	-1.045	-0.268	-1.217	0.256	-1.088	-0.638	-1.174	1.211	-0.533	-0.755	2.401	-3.707	3.233	-2.795	2.055	0.145	0.052	0.169	-2.203	2.536	-3.417	1.482	-0.182	-0.447	-1.328	0.176	0.435	-1.753	1.402	-1.883	0.582	-0.681	0.465	-1.390	0.200	-0.108	-0.669	0.361	-1.032	-0.441	0.928	-0.305	-0.700	-1.291	1.057	-1.427	0.108	-0.718	-0.780	-0.897	1.082	-2.481	1.162	-0.502	0.059	-1.402	0.829	-0.749	-0.706	0.675	-0.391	-1.026	0.928	-2.173	0.786	-0.582	0.046	-1.088	1.075	-1.735	1.057	-0.287	0.478	-0.700	0.693	-0.761	0.250	-0.311	0.003	-0.515	-0.157	-1.082	0.829	-2.105	0.700	-0.250	-0.317	-0.995	0.619	-1.883	0.632	-1.008	-0.471	-2.487	2.031	-3.424	0.219	-0.786	-0.921	-0.773	-0.169	-0.182	0.102	-0.367	1.396	-2.049	1.809	-1.612	-0.077	0.687	-0.570	-0.669	0.059	0.287	-1.803	0.909	-0.484	-0.940	1.778	-1.464	0.471	-0.755	2.216	-2.419	0.903	0.872	-1.408	0.700	-0.009	-0.558	-0.798	0.034	-0.484	-0.915	1.310	-0.952	0.188	-1.156	0.724	-1.026	1.451	-0.761	-1.753	1.439	-2.567	0.188	-1.569	1.606	-3.627
-0.545	-1.143	1.340	-1.488	1.032	-2.351	1.618	-2.721	1.304	-2.086	0.096	-0.089	0.237	-2.055	0.891	-0.681	-0.391	0.182	-0.786	0.866	-1.507	0.533	-0.305	-0.737	0.995	-1.451	1.371	-1.655	1.661	-1.667	1.667	-1.840	0.983	0.009	-0.188	0.089	-0.817	1.094	-1.513	2.635	1.322	1.488	0.348	-0.422	1.100	-2.918	0.077	-3.140	-1.254	-0.829	-4.157	1.088	-3.578	3.300	-0.108	1.797	1.951	-0.471	0.533	-7.159	-0.163	-3.991	-0.835	-1.205	-3.103	-0.570	-0.071	3.202	-0.737	4.237	0.096	2.277	-0.373	-1.550	1.014	-0.773	0.188	-1.550	0.558	-0.669	1.803	1.211	-0.404	1.606	0.767	-1.063	1.766	0.083	-0.718	0.570	-0.804	-1.501	-0.817	0.385	-1.421	-0.169	0.120	-1.710	-0.484	1.710	-1.396	0.749	-1.618	0.317	-2.105	0.237	-1.532	0.213	-1.550	0.373	-2.025	-0.077	0.342	-2.092	1.390	-0.724	-0.206	0.626	-0.958	1.562	-2.173	1.883	-2.160	1.106	-0.515	-0.324	-0.367	-0.416	0.730	-1.464	0.398	-0.490	-0.792	1.297	-1.458	0.114	-1.211	1.279	-1.100	-1.100	0.126	-1.402	0.490	-1.809	0.040	-0.872	0.619	-1.273	-0.515	2.037	-2.228	1.624	-2.357	1.667	-1.248	-0.163	1.476	-2.320	1.747	-2.542	2.203	-2.080	0.854	-0.231	-0.317	0.817	-1.310	0.921	-1.230	0.601	-1.427	-0.151	0.478	-1.119	0.749	-0.539	-0.428	0.071	0.287	-1.538	0.749	0.206	-1.710	0.280	-1.297	1.112	-1.821	-0.669	0.656	-1.747	1.149	-1.544	0.607	1.230	-1.735	0.909	-2.105	1.458	-2.370	0.564	-0.860	-0.169	-0.650	-0.342	0.706	-1.119	0.724	-0.675	0.884	-0.663	-0.891	1.032	-1.217	0.330	-1.569	1.273	-1.267	0.126	-0.619	-0.034	0.089	-1.347	0.496	-0.786	-0.317	-0.243	-1.402	0.810	-2.000	0.398	-0.909	-0.237	-0.231	-0.102	-0.915	-1.014	1.575	-1.082	-0.163	-0.065	0.213	-0.379	0.656	0.484	-2.955	3.756	-3.510	0.952	-0.650	-1.131	1.365	-0.552	0.459	-1.106	0.133	-1.260
-0.552	-0.681	0.305	0.139	-0.354	-0.693	0.835	-2.850	0.730	0.613	-0.693	-0.977	-0.810	1.581	-2.308	1.248	-1.926	1.119	-0.065	-1.365	0.422	-1.260	1.304	-0.804	-0.274	0.404	-1.254	1.063	-1.642	2.302	-2.684	1.402	-1.051	0.706	-0.743	-0.435	0.749	-1.988	0.416	-1.445	0.373	0.151	-0.903	0.527	-1.809	1.587	-1.421	0.410	0.120	-1.347	0.823	0.977	1.532	1.310	2.142	-0.847	-0.866	-2.813	-3.615	1.075	-2.585	-0.305	-7.159	-0.804	-0.478	2.462	3.553	-1.686	0.804	-1.624	0.108	-2.166	-1.359	-0.582	-1.100	1.008	-2.185	-1.180	3.294	0.385	1.981	-1.051	1.519	-0.533	3.109	-2.949	0.435	-0.182	0.268	0.059	-1.384	1.260	-2.037	2.111	-1.877	-0.052	1.507	-1.045	0.730	-2.055	0.773	-0.293	0.009	-1.106	-1.230	1.340	-2.487	0.200	-0.798	0.305	-1.704	-0.009	0.250	-1.550	1.359	-2.000	0.681	-0.952	-0.274	-0.718	-1.020	0.268	-0.687	-0.089	-2.382	2.320	-2.518	1.094	0.595	-0.897	0.773	-2.450	2.838	-2.203	-0.262	0.656	-1.199	0.915	-1.340	-0.533	-0.250	0.151	-1.279	-0.114	0.743	-2.210	0.416	0.243	-0.367	-0.324	-0.139	0.780	-2.456	1.784	-2.283	1.106	-1.156	1.075	-0.613	-1.254	1.920	-1.532	1.020	-1.803	0.971	-1.267	-0.015	0.015	-1.581	1.285	-1.944	0.268	0.330	-0.385	-0.194	0.533	-0.176	-0.361	0.496	-1.180	-0.391	0.022	-1.630	1.981	-3.368	2.191	-2.475	1.439	-1.692	0.428	0.841	-2.055	1.377	-0.958	0.533	-0.552	-1.593	1.020	-1.797	2.099	-2.555	1.895	-2.012	1.248	-1.562	0.114	1.088	-1.790	0.108	0.527	-0.317	-0.940	-0.213	1.217	-2.031	1.038	-1.316	0.607	-0.089	-0.287	0.145	-0.521	0.015	-1.495	1.223	-1.476	-0.496	-0.545	0.391	0.533	-2.425	2.012	-2.431	1.920	-1.729	0.237	0.564	-1.864	1.877	-3.023	1.766	-1.008	0.435	0.231	-1.094	2.314	-3.535	2.283	-1.525	-0.435	0.151	0.404	-0.829	-0.324	0.348	-1.100
